record_id,title,journal,author,doi_for_requesting,original_paper_date
3530,The Predictors of the Job Stress among Female Married Hospital Nurses,Industrial Health,Li Fang;Shu-Hui Fang;Yun-Ho Chung;Chin-Lin Fang,10.2486/indhealth.2014-0013,2014-05-07T00:00:00Z
16258,The impact of comprehension versus self-enhancement goals on group perception,Social Psychology,Arne van den Bos;Diederik A Stapel,10.1027/1864-9335.39.4.244,2008-10-01T00:00:00Z
586,Profiling the different needs and expectations of patients for population-based medicine: a case study using segmentation analysis,BMC Health Services Research,Federico Lega;Alessandro Mengoni,10.1186/1472-6963-13-180,2012-12-21T00:00:00Z
16240,Hardly thinking about close and distant others: On cognitive business and target closeness in social comparison effects,Journal of Experimental Social Psychology,Diederik A Stapel;David M Marx,10.1016/j.jesp.2005.05.006,2005-08-05T00:00:00Z
4149,The effects of diffuse and distinct affect,Journal of Personality and Social Psychology,Diederik A Stapel;Willem Koomen;Kirsten I Ruys,10.1037/0022-3514.83.1.60,2002-07-01T00:00:00Z
16884,Rising up to higher virtues: Experiencing elevated physical height uplifts prosocial actions,Journal of Experimental Social Psychology,Lawrence J Sanna;Edward C Chang;Paul M Miceli;Kristjen B Lundberg,10.1016/j.jesp.2010.12.013,2010-12-22T00:00:00Z
5758,The effect of color (red versus blue) on assimilation versus contrast in prime-to-behavior effects,Journal of Experimental Social Psychology,Dirk Smeesters;Jia (Elke) Liu,10.1016/j.jesp.2011.02.010,2011-02-19T00:00:00Z
5782,"Think and act globally, think and act locally: Cooperation depends on matching construal to action levels in social dilemmas",Journal of Experimental Social Psychology,Lawrence J Sanna;Kristjen B Lundberg;Craig D Parks;Edward C Chang,10.1016/j.jesp.2010.05.018,2010-06-25T00:00:00Z
16255,The downside of feeling better: Self-regard repair harms performance,Self and Identity,Camille S Johnson;Michael I Norton;Leif D Nelson;Diederik A Stapel;Tanya L Chartrand,10.1080/15298860701438414,2008-06-12T00:00:00Z
2853,Why people stereotype affects how they stereotype: the differential influence of comprehension goals and self-enhancement goals on stereotyping,Personality & Social Psychology Bulletin,Arne van den Bos;Diederik A Stapel,10.1177/0146167208325773,2009-01-01T00:00:00Z
1578,Behavioural effects of automatic interpersonal versus intergroup social comparison,British Journal of Social Psychology,EH Gordijn;Diederik A Stapel,NA,2006-12-01T00:00:00Z
5258,"Beauty as a tool: The effect of model attractiveness, product relevance, and elaboration likelihood on advertising effectiveness",Psychology & Marketing,Debra Trampe;Diederik A Stapel;Frans W Siero;H Mulder,10.1002/mar.20375,2010-11-04T00:00:00Z
17007,"Considering the Relationship Between Language, Culture and Cognition to Scrutinize the Lexical Influences on Cognition",Current Psychology,Iman Tohidian;Seyed Mahmoud Mir Tabatabaie,10.1007/s12144-010-9072-z,2010-01-19T00:00:00Z
1946,A Comparison of Impulsivity and Sensation Seeking in Pathological Gamblers and Skydivers,Scandinavian Journal of Psychology,Helga Myrseth;Renate Tvera;Susanne Hagatun;Canillia Lindgren,10.1111/j.1467-9450.2011.00944.x,2011-09-19T00:00:00Z
2976,"Reducing the harm of stress: medications to rescue the prefrontal cortex and overcome bad habits: the science of stress: focus on the brain, breaking bad habits, and chronic disease",The Yale Journal of Biology and Medicine,Lu E Jin,NA,2011-12-01T00:00:00Z
2506,"Norms for the Korean version of the Harvard Group Scale of Hypnotic Susceptibility, Form A",The International Journal of Clinical and Experimental Hypnosis,Young Don Pyun;Yun Joo Kim,10.1080/00207144.2012.631858,2009-01-01T00:00:00Z
15878,Analysis on the Influence of Self-awareness and Achievement Motivation on College Students' Academic Self-handicapping,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Kang Jing;Wang Wei,NA,2011-08-08T00:00:00Z
15931,Analysis on the Influence of Self-handicapping on College Students' Mental Health,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Kang Jing,NA,2011-08-08T00:00:00Z
15795,Construction and Analysis of Life Quality Between Physical Population and Non-physical Population in College Students,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Wang Wei;Kang Jing,NA,2011-08-08T00:00:00Z
15938,Empirical Study of the Impact of Physical Environment on the Employees Performance,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Li Yi,NA,2011-08-08T00:00:00Z
15784,On Establishment of Firefighting Army 's Psychological Aid Emergency System,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Hou Yi,NA,2011-08-08T00:00:00Z
15794,Risk Factors Analysis of Information Technology Outsourcing from the Distance-based Perspective,2011 2nd IEEE International Conference on Emergency Management and Management Sciences,Ma Yajing;Fang Deying;Chen Jianbin,NA,2011-08-08T00:00:00Z
